train_name,train_number,current_station,next_station,distance_km,scheduled_travel_time_min,weather,congestion_level,historical_avg_delay_min,day_of_week,hour_of_day,actual_delay_min
Tejas Express,22119,Ratlam Jn,Vadodara Jn,59.7,59.7,Fog,Low,0.5,Wed,8,12.2
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,65.6,65.6,Clear,Medium,16.9,Mon,3,16.8
Shatabdi Express,12009,Kota Jn,Ratlam Jn,95.5,95.5,Heavy Rain,Low,11.9,Sun,10,29.4
Tejas Express,22119,Surat,Mumbai Central,148.0,148.0,Clear,High,3.8,Thu,0,17.3
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,76.1,76.1,Rain,High,12.5,Mon,23,35.9
Shatabdi Express,12009,Surat,Mumbai Central,60.2,60.2,Clear,Low,5.9,Thu,21,0.0
Tejas Express,22119,Kota Jn,Ratlam Jn,100.0,100.0,Clear,Medium,0.0,Thu,18,7.9
Shatabdi Express,12009,Vadodara Jn,Surat,77.4,77.4,Fog,Medium,15.9,Sat,5,37.6
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,87.0,87.0,Fog,Low,16.4,Sat,9,25.7
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,39.2,39.2,Clear,High,12.2,Thu,13,28.8
August Kranti Rajdhani,12953,Vadodara Jn,Surat,84.3,84.3,Clear,Medium,0.1,Sun,3,12.6
Tejas Express,22119,Kota Jn,Ratlam Jn,42.9,42.9,Heavy Rain,Medium,1.0,Sun,3,33.0
Tejas Express,22119,Kota Jn,Ratlam Jn,124.2,124.2,Fog,High,11.9,Thu,19,45.5
Tejas Express,22119,Surat,Mumbai Central,78.0,78.0,Clear,High,9.0,Sun,20,27.0
Shatabdi Express,12009,Surat,Mumbai Central,83.0,83.0,Clear,Low,14.3,Wed,10,4.5
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,39.6,39.6,Clear,Low,4.3,Wed,17,1.2
Tejas Express,22119,Vadodara Jn,Surat,28.1,28.1,Rain,Low,15.4,Mon,18,20.2
Tejas Express,22119,Vadodara Jn,Surat,20.8,20.8,Clear,Medium,17.1,Thu,17,23.1
August Kranti Rajdhani,12953,Vadodara Jn,Surat,48.5,48.5,Clear,Low,6.7,Thu,23,5.2
August Kranti Rajdhani,12953,Vadodara Jn,Surat,139.5,139.5,Heavy Rain,Medium,18.1,Sat,0,44.9
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,37.6,37.6,Clear,Low,7.6,Wed,10,0.9
Tejas Express,22119,Ratlam Jn,Vadodara Jn,117.8,117.8,Rain,Low,1.6,Fri,1,4.0
Shatabdi Express,12009,Kota Jn,Ratlam Jn,104.5,104.5,Fog,Medium,15.1,Tue,0,37.0
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,36.4,36.4,Fog,Medium,4.4,Sun,11,29.2
August Kranti Rajdhani,12953,Surat,Mumbai Central,98.9,98.9,Fog,Low,16.4,Mon,18,27.8
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,94.9,94.9,Rain,Low,18.8,Fri,22,14.4
August Kranti Rajdhani,12953,New Delhi,Kota Jn,110.6,110.6,Clear,Medium,16.1,Fri,1,21.1
Shatabdi Express,12009,Surat,Mumbai Central,75.7,75.7,Clear,Medium,6.8,Sun,15,16.9
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,144.9,144.9,Fog,Medium,14.1,Sat,16,31.4
Shatabdi Express,12009,Surat,Mumbai Central,125.1,125.1,Clear,Low,8.7,Wed,10,6.6
August Kranti Rajdhani,12953,New Delhi,Kota Jn,56.3,56.3,Clear,Medium,11.4,Wed,0,17.4
Tejas Express,22119,Ratlam Jn,Vadodara Jn,43.6,43.6,Clear,Medium,6.8,Sat,8,17.2
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,143.2,143.2,Clear,Medium,9.8,Sat,15,17.5
Tejas Express,22119,Vadodara Jn,Surat,123.1,123.1,Clear,Low,13.8,Fri,11,5.0
Tejas Express,22119,Surat,Mumbai Central,89.0,89.0,Clear,Medium,6.6,Wed,9,15.3
Shatabdi Express,12009,Kota Jn,Ratlam Jn,35.7,35.7,Clear,Low,10.7,Tue,6,7.9
August Kranti Rajdhani,12953,Vadodara Jn,Surat,55.9,55.9,Clear,Medium,11.9,Sun,6,20.8
Shatabdi Express,12009,Kota Jn,Ratlam Jn,66.9,66.9,Clear,Medium,2.5,Mon,17,6.8
Shatabdi Express,12009,Kota Jn,Ratlam Jn,102.9,102.9,Fog,Low,0.2,Thu,14,12.9
Shatabdi Express,12009,Kota Jn,Ratlam Jn,145.5,145.5,Clear,High,2.3,Thu,2,16.8
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,39.4,39.4,Clear,Low,19.9,Sun,13,6.1
August Kranti Rajdhani,12953,Surat,Mumbai Central,69.4,69.4,Rain,Low,11.8,Fri,19,13.2
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,144.8,144.8,Clear,Medium,12.5,Mon,5,13.8
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,91.8,91.8,Clear,Low,13.8,Mon,7,6.6
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,111.4,111.4,Clear,Medium,18.5,Sat,18,22.1
August Kranti Rajdhani,12953,Vadodara Jn,Surat,34.9,34.9,Clear,Low,5.3,Mon,5,0.0
Shatabdi Express,12009,Surat,Mumbai Central,117.4,117.4,Clear,Low,2.5,Sat,12,3.1
Shatabdi Express,12009,Surat,Mumbai Central,90.2,90.2,Clear,Medium,17.8,Fri,8,21.2
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,49.8,49.8,Fog,High,11.7,Sun,21,36.1
Shatabdi Express,12009,Surat,Mumbai Central,25.2,25.2,Fog,Low,13.0,Tue,18,25.7
Tejas Express,22119,Vadodara Jn,Surat,146.0,146.0,Clear,Low,6.4,Tue,10,0.0
Tejas Express,22119,Vadodara Jn,Surat,57.5,57.5,Rain,Medium,11.0,Wed,8,23.0
Shatabdi Express,12009,New Delhi,Kota Jn,146.1,146.1,Clear,Medium,19.8,Fri,14,21.5
Tejas Express,22119,New Delhi,Kota Jn,44.4,44.4,Clear,Medium,12.5,Tue,8,18.9
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,77.0,77.0,Fog,Low,19.5,Tue,22,25.9
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,91.6,91.6,Clear,Low,19.8,Thu,3,14.0
August Kranti Rajdhani,12953,Vadodara Jn,Surat,141.2,141.2,Clear,Medium,8.3,Thu,7,14.0
Tejas Express,22119,Surat,Mumbai Central,38.8,38.8,Clear,Medium,14.9,Mon,8,13.8
Tejas Express,22119,Ratlam Jn,Vadodara Jn,141.5,141.5,Clear,Medium,5.7,Fri,18,10.8
Tejas Express,22119,Kota Jn,Ratlam Jn,78.1,78.1,Clear,Low,15.3,Wed,6,6.5
August Kranti Rajdhani,12953,Surat,Mumbai Central,69.8,69.8,Rain,Low,6.4,Sun,12,10.9
Tejas Express,22119,Kota Jn,Ratlam Jn,84.4,84.4,Clear,Medium,11.8,Sun,14,19.6
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,138.4,138.4,Clear,Low,17.4,Mon,15,13.4
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,101.0,101.0,Clear,Low,6.6,Fri,12,5.0
Shatabdi Express,12009,Vadodara Jn,Surat,133.4,133.4,Clear,Low,12.6,Tue,23,10.5
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,147.2,147.2,Fog,Medium,2.0,Wed,0,22.7
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,123.5,123.5,Clear,Low,2.9,Fri,21,1.8
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,42.8,42.8,Fog,Low,13.7,Fri,4,21.9
August Kranti Rajdhani,12953,Vadodara Jn,Surat,102.9,102.9,Clear,Medium,18.0,Wed,21,18.7
August Kranti Rajdhani,12953,New Delhi,Kota Jn,77.4,77.4,Clear,Medium,12.8,Wed,14,15.6
Shatabdi Express,12009,Kota Jn,Ratlam Jn,149.9,149.9,Rain,Low,7.6,Wed,22,10.4
Shatabdi Express,12009,New Delhi,Kota Jn,147.1,147.1,Fog,Low,11.3,Sat,1,22.5
Tejas Express,22119,Ratlam Jn,Vadodara Jn,120.8,120.8,Clear,Medium,4.4,Wed,21,9.1
August Kranti Rajdhani,12953,New Delhi,Kota Jn,137.4,137.4,Fog,Low,8.8,Sat,4,20.2
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,62.5,62.5,Clear,Low,15.7,Wed,16,11.6
Shatabdi Express,12009,Kota Jn,Ratlam Jn,53.4,53.4,Rain,Low,16.1,Wed,3,18.6
Tejas Express,22119,New Delhi,Kota Jn,38.3,38.3,Heavy Rain,High,14.5,Sun,17,57.0
Shatabdi Express,12009,New Delhi,Kota Jn,122.8,122.8,Clear,Medium,9.1,Sat,8,16.2
Tejas Express,22119,Ratlam Jn,Vadodara Jn,34.1,34.1,Clear,Low,17.7,Fri,7,9.4
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,138.2,138.2,Clear,Low,2.8,Wed,15,5.9
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,50.5,50.5,Clear,Low,7.4,Sat,17,8.2
Tejas Express,22119,Surat,Mumbai Central,116.5,116.5,Clear,Low,2.0,Thu,8,0.9
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,48.2,48.2,Clear,Low,7.3,Wed,17,8.4
Shatabdi Express,12009,New Delhi,Kota Jn,71.8,71.8,Clear,Low,17.0,Sat,6,8.0
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,122.3,122.3,Clear,Low,11.3,Sun,17,1.4
August Kranti Rajdhani,12953,Surat,Mumbai Central,48.1,48.1,Rain,Low,3.0,Mon,8,13.5
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,90.2,90.2,Fog,Low,17.3,Wed,7,19.9
Shatabdi Express,12009,New Delhi,Kota Jn,42.7,42.7,Clear,Medium,10.5,Thu,14,17.8
Shatabdi Express,12009,Surat,Mumbai Central,97.2,97.2,Clear,Low,12.3,Sun,21,8.4
Shatabdi Express,12009,Vadodara Jn,Surat,103.6,103.6,Clear,High,16.9,Mon,15,27.8
Tejas Express,22119,New Delhi,Kota Jn,136.9,136.9,Clear,Low,2.5,Fri,17,2.5
Shatabdi Express,12009,Vadodara Jn,Surat,149.3,149.3,Clear,Low,12.1,Sat,3,2.0
August Kranti Rajdhani,12953,Vadodara Jn,Surat,78.7,78.7,Clear,Low,9.1,Mon,10,3.8
Tejas Express,22119,Ratlam Jn,Vadodara Jn,106.5,106.5,Clear,Low,18.5,Sun,2,5.0
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,32.6,32.6,Fog,Medium,11.1,Fri,17,31.4
Shatabdi Express,12009,New Delhi,Kota Jn,73.4,73.4,Rain,High,8.5,Mon,9,36.5
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,33.5,33.5,Clear,Low,9.6,Wed,17,8.3
Shatabdi Express,12009,New Delhi,Kota Jn,119.1,119.1,Clear,Medium,16.9,Sun,19,23.1
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,140.8,140.8,Rain,Low,3.6,Wed,10,11.8
Shatabdi Express,12009,New Delhi,Kota Jn,43.6,43.6,Clear,Medium,1.4,Mon,2,13.1
August Kranti Rajdhani,12953,Vadodara Jn,Surat,74.6,74.6,Clear,Low,14.4,Fri,19,10.0
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,40.2,40.2,Fog,Low,1.6,Thu,15,15.2
Tejas Express,22119,Vadodara Jn,Surat,55.5,55.5,Fog,Low,8.6,Sat,18,17.1
Tejas Express,22119,Surat,Mumbai Central,106.7,106.7,Clear,Low,12.0,Wed,6,1.1
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,57.6,57.6,Clear,Low,8.6,Fri,22,0.6
August Kranti Rajdhani,12953,Surat,Mumbai Central,92.6,92.6,Fog,Low,7.9,Thu,0,21.3
Tejas Express,22119,New Delhi,Kota Jn,132.1,132.1,Clear,Medium,14.2,Mon,12,16.3
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,42.3,42.3,Rain,Low,13.8,Thu,3,13.5
August Kranti Rajdhani,12953,Vadodara Jn,Surat,96.6,96.6,Clear,Low,6.2,Wed,5,1.5
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,102.3,102.3,Clear,Low,15.5,Sun,20,6.2
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,33.4,33.4,Clear,Low,3.1,Mon,5,4.2
Tejas Express,22119,Vadodara Jn,Surat,118.1,118.1,Fog,Low,18.5,Sat,19,24.9
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,39.6,39.6,Clear,Low,6.1,Mon,11,0.8
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,80.0,80.0,Clear,Low,5.7,Sun,2,4.2
Tejas Express,22119,Vadodara Jn,Surat,95.4,95.4,Heavy Rain,Medium,0.8,Fri,20,39.5
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,98.7,98.7,Clear,High,9.0,Sun,10,27.6
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,104.0,104.0,Clear,Medium,19.8,Fri,5,20.1
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,139.3,139.3,Clear,Medium,13.6,Sat,20,12.3
Shatabdi Express,12009,New Delhi,Kota Jn,62.9,62.9,Clear,Low,5.0,Fri,4,6.0
Shatabdi Express,12009,New Delhi,Kota Jn,95.8,95.8,Clear,Low,19.4,Thu,4,11.7
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,92.7,92.7,Fog,Low,2.6,Sat,21,18.3
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,86.1,86.1,Clear,Low,19.0,Sun,15,7.9
August Kranti Rajdhani,12953,Kota Jn,Ratlam Jn,150.0,150.0,Clear,Low,15.8,Fri,23,8.0
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,133.9,133.9,Fog,Medium,3.1,Sat,19,23.4
August Kranti Rajdhani,12953,Vadodara Jn,Surat,25.7,25.7,Clear,Medium,19.4,Sun,23,20.8
Tejas Express,22119,Kota Jn,Ratlam Jn,89.4,89.4,Clear,Medium,9.4,Wed,21,18.1
Tejas Express,22119,Vadodara Jn,Surat,120.0,120.0,Fog,Medium,8.4,Tue,19,25.8
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,26.8,26.8,Clear,Low,18.7,Fri,3,11.4
Shatabdi Express,12009,New Delhi,Kota Jn,119.2,119.2,Clear,High,2.9,Tue,14,20.8
Shatabdi Express,12009,New Delhi,Kota Jn,73.9,73.9,Clear,Low,7.7,Tue,0,0.0
Shatabdi Express,12009,New Delhi,Kota Jn,129.1,129.1,Fog,Medium,2.8,Sun,15,24.3
August Kranti Rajdhani,12953,Vadodara Jn,Surat,78.3,78.3,Clear,Low,5.1,Fri,23,5.8
Tejas Express,22119,New Delhi,Kota Jn,120.9,120.9,Clear,Low,4.8,Fri,14,3.8
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,128.8,128.8,Clear,Medium,12.6,Sat,4,17.1
Shatabdi Express,12009,Vadodara Jn,Surat,20.2,20.2,Clear,Medium,3.7,Fri,11,13.5
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,90.7,90.7,Fog,Medium,0.4,Mon,20,28.9
Tejas Express,22119,Ratlam Jn,Vadodara Jn,53.0,53.0,Clear,Medium,6.9,Sat,3,15.8
Shatabdi Express,12009,Kota Jn,Ratlam Jn,25.8,25.8,Clear,Medium,3.5,Thu,22,14.6
Tejas Express,22119,Kota Jn,Ratlam Jn,125.5,125.5,Clear,Medium,9.2,Mon,6,12.5
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,141.3,141.3,Clear,High,10.9,Sun,20,22.9
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,66.4,66.4,Fog,High,6.6,Wed,13,34.5
Tejas Express,22119,Vadodara Jn,Surat,136.3,136.3,Clear,High,9.9,Sun,16,24.9
Shatabdi Express,12009,New Delhi,Kota Jn,114.5,114.5,Clear,Medium,16.4,Wed,3,18.7
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,105.9,105.9,Clear,Medium,8.5,Wed,14,16.1
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,99.9,99.9,Clear,Medium,15.8,Sat,20,13.5
Tejas Express,22119,Ratlam Jn,Vadodara Jn,86.7,86.7,Fog,Low,0.6,Sat,14,18.8
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,28.7,28.7,Fog,Low,7.7,Fri,4,19.6
Tejas Express,22119,Ratlam Jn,Vadodara Jn,68.4,68.4,Fog,Medium,10.6,Sat,8,29.3
August Kranti Rajdhani,12953,New Delhi,Kota Jn,23.4,23.4,Clear,Medium,18.3,Sun,8,15.3
Tejas Express,22119,Kota Jn,Ratlam Jn,149.5,149.5,Clear,High,9.8,Sun,2,21.1
Tejas Express,22119,Kota Jn,Ratlam Jn,136.8,136.8,Clear,Low,13.6,Wed,21,10.3
Shatabdi Express,12009,New Delhi,Kota Jn,91.5,91.5,Clear,Low,3.2,Sat,20,3.7
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,86.1,86.1,Clear,Low,2.8,Mon,11,4.3
Shatabdi Express,12009,Vadodara Jn,Surat,124.5,124.5,Clear,Medium,1.7,Sat,23,8.9
Tejas Express,22119,Surat,Mumbai Central,73.4,73.4,Clear,Medium,2.5,Mon,14,9.4
Tejas Express,22119,Surat,Mumbai Central,64.8,64.8,Rain,Medium,12.8,Tue,13,21.2
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,87.4,87.4,Clear,Low,18.7,Fri,9,6.6
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,45.5,45.5,Heavy Rain,Low,12.5,Mon,16,32.4
August Kranti Rajdhani,12953,Surat,Mumbai Central,142.4,142.4,Clear,Medium,14.4,Sun,18,18.3
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,30.6,30.6,Rain,Medium,5.3,Fri,13,17.8
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,135.6,135.6,Clear,Medium,6.0,Sun,21,10.4
Tejas Express,22119,Ratlam Jn,Vadodara Jn,79.0,79.0,Fog,Low,8.3,Wed,19,18.8
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,132.0,132.0,Clear,High,6.9,Sun,11,22.4
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,51.4,51.4,Clear,Low,2.8,Thu,19,0.0
Tejas Express,22119,Kota Jn,Ratlam Jn,145.1,145.1,Rain,Medium,18.7,Tue,5,29.6
Tejas Express,22119,Surat,Mumbai Central,80.7,80.7,Rain,Low,1.8,Thu,7,7.8
August Kranti Rajdhani,12953,Surat,Mumbai Central,65.9,65.9,Clear,Low,17.6,Thu,9,10.3
Mumbai Rajdhani Express,12951,New Delhi,Kota Jn,76.0,76.0,Rain,Medium,15.3,Thu,1,24.3
August Kranti Rajdhani,12953,Ratlam Jn,Vadodara Jn,91.9,91.9,Clear,Medium,15.3,Fri,21,15.4
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,146.8,146.8,Clear,Medium,6.8,Sun,4,17.8
August Kranti Rajdhani,12953,Surat,Mumbai Central,86.2,86.2,Clear,Low,2.7,Thu,16,0.0
Tejas Express,22119,Kota Jn,Ratlam Jn,98.8,98.8,Clear,Low,12.3,Fri,23,2.8
Shatabdi Express,12009,Surat,Mumbai Central,63.7,63.7,Rain,Medium,14.2,Sun,0,23.1
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,107.6,107.6,Heavy Rain,Medium,15.9,Sat,20,45.2
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,81.7,81.7,Heavy Rain,Medium,15.5,Sat,1,43.5
Tejas Express,22119,Kota Jn,Ratlam Jn,88.2,88.2,Fog,Medium,7.6,Tue,1,32.0
Mumbai Rajdhani Express,12951,Kota Jn,Ratlam Jn,22.5,22.5,Clear,Low,13.8,Sun,19,6.0
Tejas Express,22119,New Delhi,Kota Jn,111.8,111.8,Clear,Medium,20.0,Thu,10,19.8
August Kranti Rajdhani,12953,Vadodara Jn,Surat,138.6,138.6,Clear,Low,15.4,Sat,22,9.9
Shatabdi Express,12009,Surat,Mumbai Central,82.9,82.9,Heavy Rain,Low,6.0,Wed,9,32.4
August Kranti Rajdhani,12953,Vadodara Jn,Surat,61.2,61.2,Clear,High,15.9,Mon,18,25.6
Tejas Express,22119,Vadodara Jn,Surat,126.4,126.4,Heavy Rain,Medium,5.8,Sat,2,35.8
Shatabdi Express,12009,Vadodara Jn,Surat,105.3,105.3,Fog,Low,16.6,Fri,22,21.0
Shatabdi Express,12009,Kota Jn,Ratlam Jn,34.2,34.2,Fog,Low,1.0,Tue,20,19.6
August Kranti Rajdhani,12953,New Delhi,Kota Jn,33.0,33.0,Clear,Low,13.6,Fri,5,3.2
Tejas Express,22119,Vadodara Jn,Surat,82.1,82.1,Clear,High,6.4,Sun,2,24.7
August Kranti Rajdhani,12953,Surat,Mumbai Central,116.0,116.0,Rain,Low,18.4,Sun,5,16.4
Mumbai Rajdhani Express,12951,Vadodara Jn,Surat,122.4,122.4,Clear,Medium,17.4,Mon,0,16.6
Shatabdi Express,12009,Surat,Mumbai Central,98.4,98.4,Rain,Low,9.1,Fri,15,14.0
August Kranti Rajdhani,12953,Surat,Mumbai Central,80.8,80.8,Clear,Low,3.2,Wed,22,1.2
August Kranti Rajdhani,12953,New Delhi,Kota Jn,115.8,115.8,Fog,Medium,15.1,Sun,20,29.3
Tejas Express,22119,Vadodara Jn,Surat,87.0,87.0,Clear,Medium,3.7,Wed,7,8.2
Mumbai Rajdhani Express,12951,Ratlam Jn,Vadodara Jn,69.9,69.9,Clear,Low,6.6,Fri,0,4.1
Shatabdi Express,12009,Ratlam Jn,Vadodara Jn,110.1,110.1,Clear,Low,6.1,Fri,22,2.1
Shatabdi Express,12009,New Delhi,Kota Jn,103.0,103.0,Rain,Low,4.4,Thu,4,14.8
Tejas Express,22119,Surat,Mumbai Central,68.6,68.6,Fog,High,15.1,Sun,6,45.5
August Kranti Rajdhani,12953,Surat,Mumbai Central,133.5,133.5,Clear,Low,14.1,Fri,3,2.8
Mumbai Rajdhani Express,12951,Surat,Mumbai Central,137.4,137.4,Clear,Medium,3.3,Thu,3,15.2
August Kranti Rajdhani,12953,Surat,Mumbai Central,83.5,83.5,Rain,Low,1.1,Thu,14,4.9
